id_str;day;anonymized_text
1206157336534016001;2019-12-15;Symptomatique [url]
1206550539477159941;2019-12-16;#ReformeRetraite #Delevoye @mention appelle au retrait du projet de réforme après la démission du haut-commissaire symptomatique d’un fiasco ! [url]
1216811655738413056;2020-01-13;@mention @mention Rhume toux fièvre
1218113362917236737;2020-01-17;Il serait temps de condamner toutes ces feignasses et ces petites merdes incultes de la #cgt . Ça brûle des livres, ça nuit à la liberté d’expression en arrêtant une radio. Bref un Q.I au niveau de la température anale… [url]
1219872603554361344;2020-01-22;@mention Parce que ça veut dire que je serais encore en train de dormir cassé par la fièvre. Donc je refuse.
1233057556123312128;2020-02-27;"Jusqu’à cette heure 19.800 malades du #Covid_19  ont  retrouvé un état de santé normale et d’autres en voie “recovery” rétablissement! dans le monde avec des foyers les plus important en Asie et moyen orient.
..toujours +80.000 malades symptomatique confirmés !"
1234301038754222082;2020-03-02;Quand ta meuf tousse 😍 [url]
1234550647598518274;2020-03-02;"#ÇaSentLeMalaise Quand quelqu'un tousse à côté de moi ou essai de me taper la biz.
💣💣💣
#coronavirusfr #3011ThStreet"
1237302358822080512;2020-03-10;Accepter une stagiaire de 3e pour la semaine, l'entendre renifler et tousser toute la journée... #COVID19france #coronavirus #COVID19 [url]
1238395420293976065;2020-03-13;Quand quelqu’un commence a tousser un peu trop dans le métro [url]
1238754896872177664;2020-03-14;« j’ai de la fièvre je tousse je préfère pas venir » alors que ça a juste une gueule de bois
1238834086195728389;2020-03-14;⚠️ En cas de fièvre, privilégiez le paracétamol. En effet, les anti-inflammatoires comme l’ibuprofène, de part leur mécanisme d’action, peuvent aggraver l’infection ! 🦠  En cas de doute, demandez conseil à un professionnel de #santé 👨‍⚕️👩‍🔬 #COVIDー19 [url]
1239322472614367234;2020-03-15;Les journalistes ils doivent flipper avec le mec qui tousse sur @mention #CoronavirusFrance #COVID19 #BFMTV #Municipales2020 [url]
1239508631076384769;2020-03-16;@mention Clairement vu qu'il y a 2 bonnes semaines possibles avant l'arrivée de symptômes.. donc entre ce temps là, + les porteurs sains m.d.r
1239806658852708357;2020-03-17;Merci. Mais je suis inquiète sa fièvre ne descend et sa toux est persistante. Un simple rhume le coronavirus ?? Je ne sais pas mais Je soigne mon bébé malgré tout et nous restons chez nous  tous les 5 . Dieu veille.
1241016306226417667;2020-03-20;"@mention Source : Tele Sahel Journal de 20h d’hier. Il a sûrement pas été testé mais le sera très rapidement. Quoi qu’il arrive cette personne a les symptômes.
Renseignez vous, merci !"
1241429490556907520;2020-03-21;La semaine dernière mon seul soucis c'est de ne rater mes rattrapages pour ne pas redoubler... cette semaine j'arrête pas de surveiller ma respiration vu que je tousse depuis 1 mois
1241692737528889345;2020-03-22;"Non mais faut arrêtez plus de papier toilettes dans les rayons 😠 je vous rappelles que le Corona virus provoque une fièvre et la toux pas la diarrhée bandes de cons,!!!
#COVIDー19 #Coronavid19, #coronavirus"
1241745980879503360;2020-03-22;@mention Donc le dépistage par test nasal ne vaut rien. Quant à faire passer un scan à tous ceux qui toussent... Bref #resterchezsoi et faire des scan pour les formes graves/hospitalisées
1242858119362949121;2020-03-25;1ère journée où je me sens mieux. Symptômes thorax et respiration moins violents, toujours une profonde fatigue. Je reste sur mes gardes. J’attends, j’espère, j’ai hâte. #jerestechezmoi #coronavirus #waitandsee
1246154052699918337;2020-04-03;"J'aurais bien voulu avoir une copine qui fasse ce challenge. Juste pour ne pas bouger et lui dire ""Après tu vas tousser keuheum keuheum "" #Grumpy 🙂"
1248124964819087362;2020-04-09;La crise et toux ce qui s’en suit. #zeitgeist
